seasons,episode,title,airdate,rating,desc
S12, Ep3,Old Lady House: A Situation Comedy,            18 Jan. 2017    ,8.5,"The gang installs spy cameras in Mrs. Kelly and Mrs. Mac's house, to soon realise that the footage would make for a successful sitcom.    "
S12, Ep4,Wolf Cola: A Public Relations Nightmare,            25 Jan. 2017    ,8.1,Franks Fluids LLC is in big trouble after a news segment shows Wolf Cola has become the official drink of Boko Haram.    
S12, Ep5,Making Dennis Reynolds a Murderer,            1 Feb. 2017    ,8.6,An episode filmed in the true crime style of Making a Murderer and The Jinx which begins with 911 call: A cat-woman formerly known as Maureen Ponderosa has been found dead in an alley and Dennis is the prime suspect.    
S12, Ep6,Hero or Hate Crime?,            8 Feb. 2017    ,9.4,The gang go to a professional arbitrator to decide who's the rightful owner of a scratch-off lottery ticket.    
S12, Ep7,PTSDee,            15 Feb. 2017    ,8.6,"After finding out she's a male stripper's ""rock bottom,"" Dee goes on a mission to prove she's the best thing that ever happened to him. Dennis takes over for the stripper with the help of his bag boy, Charlie. Meanwhile, Mac and Frank get sucked into a VR war game that causes Mac to develop his own case of PTSD.    "
S12, Ep8,The Gang Tends Bar,            22 Feb. 2017    ,8.2,"It's Valentine's Day and Paddy's is packed with customers. Dennis implores the gang to do one day of actual work but everyone else is distracted by a mystery crate Cricket spotted in the alley. Eventually, the gang becomes convinced Dennis really wants them to work on their relationships and everyone shares their grievances without much resolution.    "
S12, Ep9,A Cricket's Tale,            1 Mar. 2017    ,7.3,"A typical day in the life of Cricket, with possible redemption when his family intervenes.    "
S12, Ep10,Dennis' Double Life,            8 Mar. 2017    ,8.6,"Dennis reveals that he has a baby from his layover time in North Dakota and everyone offers solutions to the problem, but in the end, Dennis must decide which life to continue to lead.    "
S13, Ep1,The Gang Makes Paddy's Great Again,            5 Sep. 2018    ,7.6,"Meet Cindy, the new, ethnically diverse female member of the gang who can successfully pull off scams. Everything is working until Mac introduces a new member: a life-like sex doll that looks exactly like Dennis.    "
S13, Ep2,The Gang Escapes,            12 Sep. 2018    ,8.0,"When Mac and Dennis are looking to boost productivity around their apartment, Sweet Dee hires an ""escape room experience"" service.    "
S13, Ep3,The Gang Beats Boggs: Ladies Reboot,            19 Sep. 2018    ,6.6,"For a chance to get one over on the guys, Dee joins an all-female flight with Artemis, the Waitress, Charlie's mom, and Mac's mom to beat the Wade Boggs 'drinking whilst on a flight' record.    "
S13, Ep4,Time's Up for the Gang,            26 Sep. 2018    ,9.2,"Paddy's has been put on a list of bars that are sexually hostile to women, so the gang must attend a sexual-harassment seminar in order to get off the list.    "
